㐷	U+3437
䱙	U+4C59
䱧	U+4C67
䱬	U+4C6C
䱰	U+4C70
䱷	U+4C77
䱸	U+4C78
䱽	U+4C7D
䲁	U+4C81
䲅	U+4C85
䲖	U+4C96
䲘	U+4C98
䲝	U+4C9D
䲞	U+4C9E
䲟	U+4C9F
䲠	U+4CA0
䲡	U+4CA1
䲢	U+4CA2
䲣	U+4CA3
䲰	U+4CB0
䳜	U+4CDC
䳢	U+4CE2
䳤	U+4CE4
䳧	U+4CE7
䳫	U+4CEB
䴉	U+4D09
䴋	U+4D0B
䴓	U+4D13
䴔	U+4D14
䴕	U+4D15
䴖	U+4D16
䴗	U+4D17
䴘	U+4D18
䴙	U+4D19
䴬	U+4D2C
䴱	U+4D31
䴴	U+4D34
䴽	U+4D3D
䵳	U+4D73
䵴	U+4D74
䶕	U+4D95
䶮	U+4DAE
䶲	U+4DB2
与	U+4E0E
专	U+4E13
业	U+4E1A
丛	U+4E1B
东	U+4E1C
丝	U+4E1D
严	U+4E25
丧	U+4E27
临	U+4E34
为	U+4E3A
丽	U+4E3D
举	U+4E3E
乌	U+4E4C
习	U+4E60
乡	U+4E61
书	U+4E66
买	U+4E70
亚	U+4E9A
产	U+4EA7
亩	U+4EA9
亲	U+4EB2
亵	U+4EB5
亸	U+4EB8
亿	U+4EBF
仑	U+4ED1
仓	U+4ED3
们	U+4EEC
伛	U+4F1B
伞	U+4F1E
伟	U+4F1F
传	U+4F20
伡	U+4F21
伣	U+4F23
伥	U+4F25
伦	U+4F26
伧	U+4F27
伪	U+4F2A
伫	U+4F2B
佥	U+4F65
侣	U+4FA3
侥	U+4FA5
侦	U+4FA6
侧	U+4FA7
侨	U+4FA8
侪	U+4FAA
侬	U+4FAC
俓	U+4FD3
俣	U+4FE3
俥	U+4FE5
俨	U+4FE8
俩	U+4FE9
俪	U+4FEA
俫	U+4FEB
俬	U+4FEC
俭	U+4FED
倲	U+5032
债	U+503A
倾	U+503E
偑	U+5051
偾	U+507E
偿	U+507F
傤	U+50A4
傥	U+50A5
傧	U+50A7
储	U+50A8
傩	U+50A9
儎	U+510E
儣	U+5123
兖	U+5156
兰	U+5170
关	U+5173
兴	U+5174
兹	U+5179
养	U+517B
兽	U+517D
冁	U+5181
冈	U+5188
写	U+5199
军	U+519B
农	U+519C
冯	U+51AF
决	U+51B3
冻	U+51BB
净	U+51C0
凄	U+51C4
凙	U+51D9
凛	U+51DB
凫	U+51EB
凯	U+51EF
击	U+51FB
凿	U+51FF
刍	U+520D
则	U+5219
刚	U+521A
创	U+521B
刬	U+522C
刭	U+522D
刽	U+523D
刿	U+523F
剀	U+5240
剂	U+5242
剐	U+5250
剑	U+5251
剥	U+5265
剾	U+527E
劏	U+528F
劚	U+529A
务	U+52A1
劢	U+52A2
劲	U+52B2
勋	U+52CB
勚	U+52DA
匦	U+5326
匮	U+532E
华	U+534E
协	U+534F
卖	U+5356
卢	U+5362
卤	U+5364
卫	U+536B
厅	U+5385
厌	U+538C
厍	U+538D
厐	U+5390
厕	U+5395
厙	U+5399
厢	U+53A2
厣	U+53A3
县	U+53BF
叁	U+53C1
叄	U+53C4
叆	U+53C6
叇	U+53C7
发	U+53D1
变	U+53D8
叹	U+53F9
叽	U+53FD
吕	U+5415
吗	U+5417
吨	U+5428
启	U+542F
呐	U+5450
呒	U+5452
呓	U+5453
呕	U+5455
呖	U+5456
呗	U+5457
员	U+5458
呙	U+5459
呛	U+545B
呜	U+545C
咙	U+5499
咛	U+549B
咝	U+549D
哑	U+54D1
哒	U+54D2
哓	U+54D3
哔	U+54D4
哕	U+54D5
哗	U+54D7
哙	U+54D9
哜	U+54DC
哝	U+54DD
哟	U+54DF
哯	U+54EF
唛	U+551B
唝	U+551D
唠	U+5520
唡	U+5521
唢	U+5522
唤	U+5524
啧	U+5567
啬	U+556C
啭	U+556D
啮	U+556E
啯	U+556F
啴	U+5574
啸	U+5578
喷	U+55B7
喾	U+55BE
嗫	U+55EB
嗰	U+55F0
嗳	U+55F3
嘘	U+5618
嘜	U+561C
嘤	U+5624
嘪	U+562A
嘳	U+5633
嘺	U+563A
噅	U+5645
噜	U+565C
噝	U+565D
嚛	U+569B
嚣	U+56A3
嚽	U+56BD
囒	U+56D2
团	U+56E2
囱	U+56F1
围	U+56F4
囵	U+56F5
国	U+56FD
圆	U+5706
圣	U+5723
圹	U+5739
场	U+573A
坚	U+575A
坜	U+575C
坝	U+575D
坞	U+575E
坟	U+575F
坠	U+5760
垄	U+5784
垅	U+5785
垆	U+5786
垒	U+5792
垦	U+57A6
垩	U+57A9
垫	U+57AB
垭	U+57AD
垯	U+57AF
垱	U+57B1
垲	U+57B2
垴	U+57B4
埘	U+57D8
埙	U+57D9
埚	U+57DA
埡	U+57E1
埨	U+57E8
埬	U+57EC
堑	U+5811
堖	U+5816
堚	U+581A
塆	U+5846
塤	U+5864
塸	U+5878
墙	U+5899
墲	U+58B2
墶	U+58B6
壋	U+58CB
壗	U+58D7
壣	U+58E3
壪	U+58EA
壶	U+58F6
壸	U+58F8
处	U+5904
备	U+5907
夹	U+5939
夺	U+593A
奁	U+5941
奂	U+5942
奋	U+594B
奖	U+5956
奥	U+5965
妆	U+5986
妇	U+5987
妈	U+5988
妩	U+59A9
妪	U+59AA
妫	U+59AB
娅	U+5A05
娆	U+5A06
娲	U+5A32
娴	U+5A34
婡	U+5A61
婳	U+5A73
婴	U+5A74
婵	U+5A75
婶	U+5A76
媈	U+5A88
媪	U+5AAA
媭	U+5AAD
媰	U+5AB0
嫒	U+5AD2
嫔	U+5AD4
嫱	U+5AF1
嬇	U+5B07
嬣	U+5B23
嬦	U+5B26
嬷	U+5B37
嬻	U+5B3B
孄	U+5B44
孆	U+5B46
孇	U+5B47
孋	U+5B4B
孎	U+5B4E
学	U+5B66
孻	U+5B7B
孾	U+5B7E
宠	U+5BA0
审	U+5BA1
宪	U+5BAA
宫	U+5BAB
宽	U+5BBD
寝	U+5BDD
寠	U+5BE0
寻	U+5BFB
导	U+5BFC
将	U+5C06
尘	U+5C18
尧	U+5C27
尴	U+5C34
层	U+5C42
屃	U+5C43
屉	U+5C49
屓	U+5C53
屦	U+5C66
屿	U+5C7F
岂	U+5C82
岖	U+5C96
岗	U+5C97
岘	U+5C98
岚	U+5C9A
岛	U+5C9B
岭	U+5CAD
岽	U+5CBD
岿	U+5CBF
峃	U+5CC3
峄	U+5CC4
峡	U+5CE1
峣	U+5CE3
峤	U+5CE4
峥	U+5CE5
崂	U+5D02
崃	U+5D03
崄	U+5D04
崬	U+5D2C
崭	U+5D2D
嵘	U+5D58
嵚	U+5D5A
嵝	U+5D5D
嵼	U+5D7C
嶈	U+5D88
嶘	U+5D98
嶨	U+5DA8
嶹	U+5DB9
巅	U+5DC5
巊	U+5DCA
巗	U+5DD7
巩	U+5DE9
巯	U+5DEF
巰	U+5DF0
币	U+5E01
帅	U+5E05
帏	U+5E0F
帐	U+5E10
帜	U+5E1C
带	U+5E26
帧	U+5E27
帱	U+5E31
帻	U+5E3B
帼	U+5E3C
幓	U+5E53
庆	U+5E86
庑	U+5E91
库	U+5E93
庞	U+5E9E
废	U+5E9F
庼	U+5EBC
廪	U+5EEA
异	U+5F02
弑	U+5F11
张	U+5F20
弥	U+5F25
弪	U+5F2A
弳	U+5F33
录	U+5F55
彟	U+5F5F
彨	U+5F68
彲	U+5F72
彻	U+5F7B
径	U+5F84
徕	U+5F95
徿	U+5FBF
忆	U+5FC6
忏	U+5FCF
忧	U+5FE7
忾	U+5FFE
态	U+6001
怂	U+6002
怃	U+6003
怄	U+6004
怅	U+6005
怆	U+6006
总	U+603B
怼	U+603C
怿	U+603F
恳	U+6073
恶	U+6076
恸	U+6078
恹	U+6079
恺	U+607A
恻	U+607B
恽	U+607D
悦	U+60A6
悫	U+60AB
悬	U+60AC
悭	U+60AD
悮	U+60AE
悯	U+60AF
惊	U+60CA
惨	U+60E8
惫	U+60EB
惬	U+60EC
惭	U+60ED
惮	U+60EE
惯	U+60EF
愤	U+6124
愦	U+6126
慑	U+6151
慪	U+616A
慭	U+616D
憢	U+61A2
懀	U+61C0
懎	U+61CE
懑	U+61D1
懒	U+61D2
懔	U+61D4
戆	U+6206
戋	U+620B
戗	U+6217
戬	U+622C
戯	U+622F
扩	U+6269
扪	U+626A
扫	U+626B
扬	U+626C
扰	U+6270
抚	U+629A
抟	U+629F
抠	U+62A0
抡	U+62A1
抢	U+62A2
护	U+62A4
拟	U+62DF
拢	U+62E2
拣	U+62E3
拥	U+62E5
拦	U+62E6
拧	U+62E7
拨	U+62E8
择	U+62E9
挚	U+631A
挜	U+631C
挝	U+631D
挞	U+631E
挠	U+6320
挢	U+6322
挣	U+6323
挤	U+6324
挥	U+6325
挦	U+6326
挩	U+6329
捝	U+635D
捞	U+635E
损	U+635F
捡	U+6361
换	U+6362
捣	U+6363
掚	U+639A
掳	U+63B3
掴	U+63B4
掸	U+63B8
掺	U+63BA
掼	U+63BC
揯	U+63EF
揽	U+63FD
揾	U+63FE
揿	U+63FF
搀	U+6400
搁	U+6401
搂	U+6402
搄	U+6404
搅	U+6405
摄	U+6444
摅	U+6445
摇	U+6447
撄	U+6484
撊	U+648A
撵	U+64B5
撷	U+64B7
撸	U+64B8
撺	U+64BA
擓	U+64D3
擜	U+64DC
擞	U+64DE
擟	U+64DF
擼	U+64FC
擽	U+64FD
攋	U+650B
攒	U+6512
敌	U+654C
敚	U+655A
敛	U+655B
敩	U+6569
斆	U+6586
斓	U+6593
斩	U+65A9
旧	U+65E7
旸	U+65F8
昙	U+6619
昽	U+663D
显	U+663E
晓	U+6653
晔	U+6654
晕	U+6655
晖	U+6656
暂	U+6682
暅	U+6685
暧	U+66A7
曊	U+66CA
曥	U+66E5
朥	U+6725
杀	U+6740
杂	U+6742
条	U+6761
来	U+6765
杨	U+6768
杩	U+6769
极	U+6781
枞	U+679E
枢	U+67A2
枣	U+67A3
枥	U+67A5
枧	U+67A7
枨	U+67A8
枪	U+67AA
枫	U+67AB
枭	U+67AD
柠	U+67E0
柺	U+67FA
柽	U+67FD
栈	U+6808
栉	U+6809
栊	U+680A
栋	U+680B
栌	U+680C
栎	U+680E
栏	U+680F
树	U+6811
样	U+6837
桠	U+6860
桡	U+6861
桢	U+6862
档	U+6863
桤	U+6864
桥	U+6865
桦	U+6866
桧	U+6867
桨	U+6868
桩	U+6869
桪	U+686A
桱	U+6871
梖	U+6896
梘	U+6898
梼	U+68BC
梾	U+68BE
梿	U+68BF
检	U+68C0
棁	U+68C1
棂	U+68C2
棡	U+68E1
椁	U+6901
椝	U+691D
椟	U+691F
椠	U+6920
椢	U+6922
椤	U+6924
椫	U+692B
椭	U+692D
椮	U+692E
椲	U+6932
楇	U+6947
榄	U+6984
榅	U+6985
榇	U+6987
榈	U+6988
榉	U+6989
榝	U+699D
榪	U+69AA
榲	U+69B2
槚	U+69DA
槛	U+69DB
槟	U+69DF
槠	U+69E0
槫	U+69EB
槶	U+69F6
樢	U+6A22
樤	U+6A24
樧	U+6A27
横	U+6A2A
樫	U+6A2B
樯	U+6A2F
樱	U+6A31
樳	U+6A33
橥	U+6A65
橯	U+6A6F
橱	U+6A71
橹	U+6A79
橼	U+6A7C
檩	U+6AA9
檭	U+6AAD
檵	U+6AB5
櫅	U+6AC5
櫍	U+6ACD
櫠	U+6AE0
欍	U+6B0D
欓	U+6B13
欘	U+6B18
欧	U+6B27
歼	U+6B7C
殁	U+6B81
殇	U+6B87
残	U+6B8B
殒	U+6B92
殓	U+6B93
殚	U+6B9A
殨	U+6BA8
殴	U+6BB4
毁	U+6BC1
毂	U+6BC2
毊	U+6BCA
毕	U+6BD5
毙	U+6BD9
毵	U+6BF5
毶	U+6BF6
氇	U+6C07
氢	U+6C22
氩	U+6C29
氭	U+6C2D
氲	U+6C32
汇	U+6C47
汉	U+6C49
汤	U+6C64
沟	U+6C9F
沣	U+6CA3
沤	U+6CA4
沥	U+6CA5
沦	U+6CA6
沧	U+6CA7
沨	U+6CA8
沩	U+6CA9
泞	U+6CDE
泶	U+6CF6
泷	U+6CF7
泸	U+6CF8
泺	U+6CFA
泻	U+6CFB
泼	U+6CFC
泽	U+6CFD
泾	U+6CFE
洁	U+6D01
浃	U+6D43
浆	U+6D46
浇	U+6D47
浈	U+6D48
浉	U+6D49
浊	U+6D4A
测	U+6D4B
浍	U+6D4D
济	U+6D4E
浏	U+6D4F
浐	U+6D50
浑	U+6D51
浒	U+6D52
浓	U+6D53
浔	U+6D54
浕	U+6D55
浿	U+6D7F
涚	U+6D9A
涝	U+6D9D
涞	U+6D9E
涟	U+6D9F
涠	U+6DA0
涡	U+6DA1
涢	U+6DA2
涣	U+6DA3
涤	U+6DA4
润	U+6DA6
涧	U+6DA7
涨	U+6DA8
涩	U+6DA9
淀	U+6DC0
渌	U+6E0C
渍	U+6E0D
渎	U+6E0E
渐	U+6E10
渑	U+6E11
渔	U+6E14
渖	U+6E16
渗	U+6E17
湋	U+6E4B
湿	U+6E7F
溁	U+6E81
溃	U+6E83
溅	U+6E85
溆	U+6E86
溇	U+6E87
溡	U+6EA1
溮	U+6EAE
溳	U+6EB3
滗	U+6ED7
滞	U+6EDE
滟	U+6EDF
滠	U+6EE0
满	U+6EE1
滢	U+6EE2
滤	U+6EE4
滥	U+6EE5
滪	U+6EEA
漍	U+6F0D
潆	U+6F46
潇	U+6F47
潋	U+6F4B
潍	U+6F4D
潕	U+6F55
潜	U+6F5C
潣	U+6F63
潴	U+6F74
潷	U+6F77
潿	U+6F7F
澅	U+6F85
澛	U+6F9B
澜	U+6F9C
澫	U+6FAB
澬	U+6FAC
澾	U+6FBE
濄	U+6FC4
濑	U+6FD1
濒	U+6FD2
濚	U+6FDA
濧	U+6FE7
濿	U+6FFF
瀂	U+7002
瀃	U+7003
灍	U+704D
灏	U+704F
灒	U+7052
灙	U+7059
灡	U+7061
灭	U+706D
灵	U+7075
灿	U+707F
炀	U+7080
炖	U+7096
炜	U+709C
炝	U+709D
炼	U+70BC
炽	U+70BD
烁	U+70C1
烂	U+70C2
烃	U+70C3
烦	U+70E6
烧	U+70E7
烨	U+70E8
烫	U+70EB
焕	U+7115
焖	U+7116
焘	U+7118
煱	U+7171
煴	U+7174
熂	U+7182
熉	U+7189
熌	U+718C
熓	U+7193
熚	U+719A
熡	U+71A1
燶	U+71F6
爃	U+7203
爄	U+7204
爖	U+7216
爥	U+7225
爧	U+7227
爱	U+7231
爷	U+7237
牍	U+724D
牦	U+7266
牵	U+7275
牺	U+727A
犊	U+728A
犞	U+729E
状	U+72B6
犷	U+72B7
犸	U+72B8
狈	U+72C8
狝	U+72DD
狞	U+72DE
狭	U+72ED
狮	U+72EE
狰	U+72F0
狱	U+72F1
狲	U+72F2
猃	U+7303
猌	U+730C
猎	U+730E
猡	U+7321
獁	U+7341
獊	U+734A
獩	U+7369
獭	U+736D
獱	U+7371
玑	U+7391
玙	U+7399
玚	U+739A
玛	U+739B
玮	U+73AE
现	U+73B0
玱	U+73B1
玺	U+73BA
珑	U+73D1
珰	U+73F0
珲	U+73F2
珼	U+73FC
琎	U+740E
琏	U+740F
琐	U+7410
瑶	U+7476
瑷	U+7477
瑸	U+7478
瑻	U+747B
璎	U+748E
璕	U+7495
璗	U+7497
璝	U+749D
璡	U+74A1
璯	U+74AF
璸	U+74B8
璼	U+74BC
璾	U+74BE
瓄	U+74C4
瓒	U+74D2
瓕	U+74D5
瓯	U+74EF
畅	U+7545
畴	U+7574
畼	U+757C
疖	U+7596
疗	U+7597
疟	U+759F
疠	U+75A0
疡	U+75A1
疬	U+75AC
疭	U+75AD
疮	U+75AE
疯	U+75AF
痈	U+75C8
痉	U+75C9
痖	U+75D6
痨	U+75E8
痪	U+75EA
痫	U+75EB
痮	U+75EE
瘅	U+7605
瘆	U+7606
瘗	U+7617
瘪	U+762A
瘫	U+762B
瘮	U+762E
瘾	U+763E
瘿	U+763F
癐	U+7650
癞	U+765E
癣	U+7663
癧	U+7667
癫	U+766B
皑	U+7691
皟	U+769F
皲	U+76B2
盏	U+76CF
盐	U+76D0
监	U+76D1
盗	U+76D7
盘	U+76D8
盨	U+76E8
眍	U+770D
眬	U+772C
睁	U+7741
睐	U+7750
睑	U+7751
瞆	U+7786
瞒	U+7792
瞜	U+779C
瞩	U+77A9
矑	U+77D1
矶	U+77F6
矾	U+77FE
矿	U+77FF
砀	U+7800
码	U+7801
砖	U+7816
砗	U+7817
砚	U+781A
砜	U+781C
砺	U+783A
砻	U+783B
砾	U+783E
础	U+7840
硁	U+7841
硕	U+7855
硖	U+7856
硗	U+7857
硙	U+7859
硚	U+785A
硵	U+7875
硷	U+7877
碙	U+7899
碛	U+789B
碜	U+789C
碸	U+78B8
碽	U+78BD
礆	U+7906
礐	U+7910
礒	U+7912
祃	U+7943
祎	U+794E
祯	U+796F
祸	U+7978
禄	U+7984
禅	U+7985
离	U+79BB
积	U+79EF
秽	U+79FD
秾	U+79FE
稆	U+7A06
税	U+7A0E
稏	U+7A0F
稣	U+7A23
穇	U+7A47
穑	U+7A51
穞	U+7A5E
穭	U+7A6D
窍	U+7A8D
窎	U+7A8E
窑	U+7A91
窜	U+7A9C
窝	U+7A9D
窥	U+7AA5
窦	U+7AA6
窭	U+7AAD
竖	U+7AD6
竞	U+7ADE
笃	U+7B03
笕	U+7B15
笺	U+7B3A
笼	U+7B3C
笾	U+7B3E
筚	U+7B5A
筛	U+7B5B
筜	U+7B5C
筝	U+7B5D
筹	U+7B79
筼	U+7B7C
签	U+7B7E
筿	U+7B7F
简	U+7B80
箓	U+7B93
箦	U+7BA6
箧	U+7BA7
箨	U+7BA8
箪	U+7BAA
箫	U+7BAB
篑	U+7BD1
篢	U+7BE2
篮	U+7BEE
篯	U+7BEF
簂	U+7C02
簖	U+7C16
簢	U+7C22
籁	U+7C41
籅	U+7C45
类	U+7C7B
籼	U+7C7C
粝	U+7C9D
粤	U+7CA4
粪	U+7CAA
糁	U+7CC1
糹	U+7CF9
糺	U+7CFA
紧	U+7D27
絙	U+7D59
絥	U+7D65
絧	U+7D67
絷	U+7D77
綄	U+7D84
綇	U+7D87
綋	U+7D8B
綐	U+7D90
綡	U+7DA1
綧	U+7DA7
緓	U+7DD3
緔	U+7DD4
緟	U+7DDF
緮	U+7DEE
緰	U+7DF0
緷	U+7DF7
緸	U+7DF8
緼	U+7DFC
縆	U+7E06
縍	U+7E0D
縎	U+7E0E
縬	U+7E2C
縯	U+7E2F
縺	U+7E3A
繂	U+7E42
繏	U+7E4F
繓	U+7E53
繬	U+7E6C
繷	U+7E77
繿	U+7E7F
纗	U+7E97
纟	U+7E9F
纠	U+7EA0
纡	U+7EA1
红	U+7EA2
纣	U+7EA3
纤	U+7EA4
纥	U+7EA5
约	U+7EA6
级	U+7EA7
纨	U+7EA8
纩	U+7EA9
纪	U+7EAA
纫	U+7EAB
纬	U+7EAC
纭	U+7EAD
纮	U+7EAE
纯	U+7EAF
纰	U+7EB0
纱	U+7EB1
纲	U+7EB2
纳	U+7EB3
纴	U+7EB4
纵	U+7EB5
纶	U+7EB6
纷	U+7EB7
纸	U+7EB8
纹	U+7EB9
纺	U+7EBA
纻	U+7EBB
纼	U+7EBC
纽	U+7EBD
纾	U+7EBE
线	U+7EBF
绀	U+7EC0
绁	U+7EC1
绂	U+7EC2
练	U+7EC3
组	U+7EC4
绅	U+7EC5
细	U+7EC6
织	U+7EC7
终	U+7EC8
绉	U+7EC9
绊	U+7ECA
绋	U+7ECB
绌	U+7ECC
绍	U+7ECD
绎	U+7ECE
经	U+7ECF
绐	U+7ED0
绑	U+7ED1
绒	U+7ED2
结	U+7ED3
绔	U+7ED4
绕	U+7ED5
绖	U+7ED6
绗	U+7ED7
绘	U+7ED8
给	U+7ED9
绚	U+7EDA
绛	U+7EDB
络	U+7EDC
绝	U+7EDD
绞	U+7EDE
统	U+7EDF
绠	U+7EE0
绡	U+7EE1
绢	U+7EE2
绣	U+7EE3
绤	U+7EE4
绥	U+7EE5
绦	U+7EE6
继	U+7EE7
绨	U+7EE8
绩	U+7EE9
绪	U+7EEA
绫	U+7EEB
绬	U+7EEC
续	U+7EED
绮	U+7EEE
绯	U+7EEF
绰	U+7EF0
绱	U+7EF1
绲	U+7EF2
绳	U+7EF3
维	U+7EF4
绵	U+7EF5
绶	U+7EF6
绷	U+7EF7
绸	U+7EF8
绹	U+7EF9
绺	U+7EFA
绻	U+7EFB
综	U+7EFC
绽	U+7EFD
绾	U+7EFE
绿	U+7EFF
缀	U+7F00
缁	U+7F01
缂	U+7F02
缃	U+7F03
缄	U+7F04
缅	U+7F05
缆	U+7F06
缇	U+7F07
缈	U+7F08
缉	U+7F09
缊	U+7F0A
缋	U+7F0B
缌	U+7F0C
缍	U+7F0D
缎	U+7F0E
缏	U+7F0F
缐	U+7F10
缑	U+7F11
缒	U+7F12
缓	U+7F13
缔	U+7F14
缕	U+7F15
编	U+7F16
缗	U+7F17
缘	U+7F18
缙	U+7F19
缚	U+7F1A
缛	U+7F1B
缜	U+7F1C
缝	U+7F1D
缞	U+7F1E
缟	U+7F1F
缠	U+7F20
缡	U+7F21
缢	U+7F22
缣	U+7F23
缤	U+7F24
缥	U+7F25
缦	U+7F26
缧	U+7F27
缨	U+7F28
缩	U+7F29
缪	U+7F2A
缫	U+7F2B
缬	U+7F2C
缭	U+7F2D
缮	U+7F2E
缯	U+7F2F
缰	U+7F30
缱	U+7F31
缲	U+7F32
缳	U+7F33
缴	U+7F34
缵	U+7F35
罂	U+7F42
罚	U+7F5A
罴	U+7F74
羁	U+7F81
羟	U+7F9F
羡	U+7FA1
翘	U+7FD8
翙	U+7FD9
翚	U+7FDA
耢	U+8022
耧	U+8027
耮	U+802E
耸	U+8038
聂	U+8042
聋	U+804B
聍	U+804D
聩	U+8069
聪	U+806A
聻	U+807B
肃	U+8083
肠	U+80A0
肤	U+80A4
肾	U+80BE
肿	U+80BF
胀	U+80C0
胁	U+80C1
胧	U+80E7
胨	U+80E8
胪	U+80EA
胫	U+80EB
胶	U+80F6
脏	U+810F
脐	U+8110
脑	U+8111
脓	U+8113
脥	U+8125
脱	U+8131
脶	U+8136
脸	U+8138
腖	U+8156
腘	U+8158
腪	U+816A
腻	U+817B
腽	U+817D
腾	U+817E
膕	U+8195
膢	U+81A2
臜	U+81DC
舆	U+8206
舣	U+8223
舰	U+8230
